,NAME,,,省会,经度,纬度
0,北京,,,Y,116.6687298,40.24172257
1,成都,,,Y,103.8997653,30.78216618
2,广州,,,Y,113.5309908,23.22988425
3,贵阳,,,Y,106.6001802,26.76115609
4,哈尔滨,,,Y,127.7139362,45.54809592
5,海口,,,Y,110.4398714,19.85335015
6,杭州,,,Y,119.442387,29.86623489
7,合肥,,,Y,117.4265351,32.0483259
8,呼和浩特,,,Y,111.5534378,40.48660995
9,济南,,,Y,117.2968564,36.75869824
10,昆明,,,Y,102.9472317,25.48147292
11,拉萨,,,Y,90.98403897,30.18834144
12,兰州,,,Y,103.5720727,36.29334835
13,南京,,,Y,118.736251,31.92518191
14,南宁,,,Y,108.3121619,23.11943829
15,上海,,,Y,121.5531715,31.25576087
16,沈阳,,,Y,123.133256,42.11001714
17,太原,,,Y,112.152873,37.9454732
18,天津,,,Y,117.4333861,39.39800252
19,乌鲁木齐,,,Y,87.6361349,43.91629184
20,西宁,,,Y,101.4286278,36.82570897
21,香港特别行政区,,,S,114.2433014,22.3584902
22,长沙,,,Y,113.2280504,28.25910476
23,郑州,,,Y,113.4806163,34.62130454
24,重庆,,,Y,107.8467222,30.16575721
25,台湾,,,S,107.593438,24.2113499
26,西安,,,Y,109.1018449,34.23049171
27,福州,,,Y,119.1229327,25.95327597
28,银川,,,Y,106.4114265,38.1852541
29,长春,,,Y,125.5471557,44.33370419
30,澳门特别行政区,,,Y,113.5835627,22.15648988
31,南昌,,,Y,116.0038378,28.67731427
32,石家庄,,,Y,114.6387957,38.08074762
33,武汉,,,Y,114.3919983,30.66685374
34,阿坝藏族羌族,,,,102.227504,32.43412667
35,阿克苏,,,,82.91792172,41.20104685
36,阿拉尔,,,,81.17744157,40.56431462
37,阿拉善盟,,,,103.1093597,40.35278715
38,阿勒泰,,,,88.81474663,47.12104408
39,阿里,,,,82.39665369,32.4686215
40,安康,,,,109.1638483,32.77842127
41,安庆,,,,116.5547708,30.53129877
42,安顺,,,,105.7776442,25.97429686
43,安阳,,,,113.9076252,35.79122043
44,鞍山,,,,122.7920419,40.79737446
45,巴彦淖尔,,,,107.4801576,41.32300199
46,巴音郭楞蒙古,,,,88.4184468,39.93185985
47,巴中,,,,107.0845743,32.00542587
48,白城,,,,123.0131157,45.27769365
49,白沙黎族自治县,,,,109.3678807,19.21408807
50,白山,,,,127.3039573,42.13042386
51,白银,,,,104.6434562,36.53659159
52,百色,,,,106.6274946,23.98257672
53,蚌埠,,,,117.3867138,33.0974404
54,包头,,,,110.5486059,41.49180814
55,宝鸡,,,,107.3561919,34.3672766
56,保定,,,,115.3352055,39.09454366
57,保山,,,,99.00009403,25.01426113
58,保亭黎族苗族自治县,,,,109.6024802,18.61190126
59,北海,,,,109.2659357,21.3956477
60,本溪,,,,124.6913212,41.18026227
61,毕节,,,,105.0658229,27.05308816
62,滨州,,,,117.6841001,37.50710215
63,亳州,,,,116.2733113,33.45867332
64,博尔塔拉蒙古,,,,82.38631616,44.71556443
65,沧州,,,,116.8116383,38.18150327
66,昌都,,,,97.36143447,30.59774773
67,昌吉回族,,,,89.6880663,44.2757537
68,昌江黎族自治县,,,,109.0376259,19.21575503
69,常德,,,,111.719397,29.26709743
70,常州,,,,119.453809,31.62227976
71,巢湖,,,,117.8266922,31.50991997
72,朝阳,,,,120.0862098,41.43877689
73,潮州,,,,116.7680452,23.83256861
74,郴州,,,,113.1718927,25.8649005
75,承德,,,,117.1661466,41.4328243
76,澄迈县,,,,110.0438806,19.7335277
77,池州,,,,117.3547686,30.20909127
78,赤峰,,,,118.5118388,43.29983535
79,崇左,,,,107.2832236,22.47526767
80,滁州,,,,117.9008359,32.54774473
81,楚雄彝族,,,,101.707423,25.37415708
82,达州,,,,107.6065485,31.33684869
83,大理白族,,,,99.97026439,25.68110217
84,大连,,,,122.1576452,39.42463179
85,大庆,,,,124.4067084,46.48697849
86,大同,,,,113.7774406,39.90347125
87,大兴安岭,,,,123.8568024,52.35145731
88,丹东,,,,124.2461115,40.42296065
89,儋州,,,,109.328146,19.5645112
90,德宏傣族景颇族,,,,97.99535467,24.60190479
91,德阳,,,,104.4135184,31.10932042
92,德州,,,,116.498031,37.23533397
93,迪庆藏族,,,,99.42156301,28.05212309
94,定安县,,,,110.3627901,19.4715909
95,定西,,,,104.6345944,35.10198747
96,东方,,,,108.7922373,19.04625074
97,东莞,,,,113.9068099,22.90304166
98,东营,,,,118.5682664,37.55546528
99,鄂尔多斯,,,,108.6822789,39.26122825
100,鄂州,,,,114.9567423,30.31149795
101,恩施州,,,,109.4551151,30.25634185
102,防城港,,,,107.9009772,21.92475916
103,佛山,,,,112.9988461,23.10777781
104,抚顺,,,,124.5422606,41.89678922
105,抚州,,,,116.346825,27.5009046
106,阜新,,,,121.8897314,42.27240945
107,阜阳,,,,115.5349551,32.99789152
108,甘南藏族,,,,102.9885184,34.37821028
109,甘孜藏族,,,,100.2168885,31.19324941
110,赣州,,,,115.0727263,25.82590813
111,固原,,,,106.1201409,35.924356
112,广安,,,,106.5815177,30.43380154
113,广元,,,,105.9643593,32.25302059
114,贵港,,,,110.0759228,23.35134904
115,桂林,,,,110.4450923,25.32228002
116,果洛藏族,,,,99.61640692,34.03306548
117,哈密,,,,93.62675386,43.07045532
118,海北藏族,,,,100.1703442,37.95142982
119,海东,,,,102.2726886,36.30501898
120,海南州,,,,100.3757152,35.93166861
121,海西州,,,,95.16350654,37.24744991
122,邯郸,,,,114.4372007,36.53523759
123,汉中,,,,106.9887089,33.00230759
124,和田,,,,80.78640537,37.19360114
125,河池,,,,107.8324357,24.59374729
126,河源,,,,114.9132087,23.98157223
127,菏泽,,,,115.5653602,35.21865526
128,贺州,,,,111.5170967,24.40333664
129,鹤壁,,,,114.3977349,35.74200974
130,鹤岗,,,,130.9680847,47.62906212
131,黑河,,,,127.3788888,49.19565008
132,衡水,,,,115.8737345,37.71130713
133,衡阳,,,,112.4830991,26.79530198
134,红河哈尼族彝族,,,,102.979911,23.58440655
135,呼伦贝尔,,,,122.2170268,50.11944917
136,葫芦岛,,,,120.0959704,40.59376515
137,湖州,,,,119.9988562,30.75174136
138,怀化,,,,109.9926295,27.4456107
139,淮安,,,,119.0484594,33.39006671
140,淮北,,,,116.6988181,33.69824655
141,淮南,,,,116.732704,32.76973774
142,黄冈,,,,115.3000197,30.67371637
143,黄南州,,,,101.5476712,35.10183902
144,黄山,,,,118.0666074,29.96004575
145,黄石,,,,115.0078579,29.91990006
146,惠州,,,,114.5817361,23.16642733
147,鸡西,,,,132.5642025,45.67044219
148,吉安,,,,114.9086818,26.96660114
149,吉林,,,,126.786066,43.67146358
150,济宁,,,,116.6383232,35.2176716
151,济源,,,,112.306752,35.0882778
152,佳木斯,,,,132.664101,47.2640152
153,嘉兴,,,,120.9697488,30.63499633
154,嘉峪关,,,,98.23142136,39.81397334
155,江门,,,,112.5632552,22.15112981
156,焦作,,,,113.0764298,35.15609847
157,揭阳,,,,116.0649653,23.32013528
158,金昌,,,,102.0310589,38.51569734
159,金华,,,,119.9938812,29.08664301
160,锦州,,,,121.493313,41.45431108
161,晋城,,,,112.7483692,35.63329088
