数据库：分省年度数据
指标：人口出生率(‰)
时间：最近10年
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
北京市,,5.67,6.35,,8.12,8.24,9.06,9.32,7.96,9.75
天津市,,4.75,5.30,,6.73,6.67,7.65,7.37,5.84,8.19
河北省,,6.09,7.15,,10.83,11.26,13.20,12.42,11.35,13.18
山西省,,6.75,7.06,,9.12,9.63,11.06,10.29,9.98,10.92
内蒙古自治区,,5.58,6.26,,8.23,8.35,9.47,9.03,7.72,9.31
辽宁省,,4.08,4.71,,6.45,6.39,6.49,6.60,6.17,6.49
吉林省,,4.32,4.70,,6.05,6.62,6.76,5.55,5.87,6.62
黑龙江省,,3.34,3.59,,5.73,5.98,6.22,6.12,6.00,7.37
上海市,,4.35,4.67,,7.00,7.20,8.10,9.00,7.52,8.35
江苏省,,5.23,5.65,,9.12,9.32,9.71,9.76,9.05,9.45
浙江省,,6.28,6.90,,10.51,11.02,11.92,11.22,10.52,10.51
安徽省,,7.16,8.05,,12.03,12.41,14.07,13.02,12.92,12.86
福建省,,7.07,8.26,,12.90,13.20,15.00,14.50,13.90,13.70
江西省,,7.19,8.34,,12.59,13.43,13.79,13.45,13.20,13.24
山东省,,6.71,7.38,,11.77,13.26,17.54,17.89,12.55,14.23
河南省,,7.42,8.00,,11.02,11.72,12.95,13.26,12.70,12.80
湖北省,,6.08,6.98,,11.35,11.54,12.60,12.04,10.74,11.86
湖南省,,6.23,7.13,,10.39,12.19,13.27,13.57,13.58,13.52
广东省,,8.30,9.35,,12.54,12.79,13.68,11.85,11.12,10.80
广西壮族自治区,,8.51,9.68,,13.31,14.12,15.14,13.82,14.05,14.07
海南省,,8.60,9.74,,12.87,14.48,14.73,14.57,14.57,14.56
重庆市,,5.98,6.49,,10.48,11.02,11.18,11.77,11.05,10.67
四川省,,6.39,6.85,,10.70,11.05,11.26,10.48,10.30,10.22
贵州省,,11.03,12.17,,13.65,13.90,13.98,13.43,13.00,12.98
云南省,,8.14,9.35,,12.63,13.19,13.53,13.16,12.88,12.65
西藏自治区,,14.24,14.17,,14.60,15.22,16.00,15.79,15.75,15.76
陕西省,,7.36,7.89,,10.55,10.67,11.11,10.64,10.10,10.13
甘肃省,,8.47,9.68,,10.60,11.07,12.54,12.18,12.36,12.21
青海省,,10.60,11.22,,13.66,14.31,14.42,14.70,14.72,14.67
宁夏回族自治区,,10.60,11.62,,13.72,13.32,13.44,13.69,12.62,13.10
新疆维吾尔自治区,,6.53,6.16,,8.14,10.69,15.88,15.34,15.59,16.44
数据来源：国家统计局
