数据库：分省年度数据
指标：城镇登记失业人数(万人)
时间：最近10年
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
北京市,,36.4,37.2,29.0,7.4,7.9,8.1,8.0,7.8,7.4
天津市,,25.4,27.5,27.0,26.1,25.8,26.0,25.8,25.1,22.5
河北省,,20.5,40.2,38.5,36.0,38.0,39.9,39.7,39.4,38.3
山西省,,19.9,20.0,27.7,21.3,24.6,26.5,26.1,25.6,24.5
内蒙古自治区,,29.0,30.5,30.0,28.1,27.0,27.1,26.7,25.9,24.8
辽宁省,,48.5,47.7,50.7,45.6,44.4,42.7,47.3,46.2,41.0
吉林省,,19.6,19.1,20.6,23.9,26.8,26.3,25.7,23.9,23.2
黑龙江省,,20.2,28.5,31.0,34.7,39.4,39.7,39.6,41.0,39.9
上海市,,14.6,66.9,19.7,19.3,19.4,22.1,24.3,24.8,25.6
江苏省,,62.9,49.1,36.7,35.1,34.4,34.7,35.2,36.0,36.6
浙江省,,37.2,45.3,42.1,34.4,34.1,33.8,33.9,33.7,33.1
安徽省,,17.9,25.4,30.0,26.8,28.1,29.0,30.4,30.9,31.5
福建省,,28.3,38.0,35.7,16.8,17.3,17.1,16.3,15.4,14.3
江西省,,28.5,29.9,29.9,27.5,35.1,32.3,31.3,29.9,29.4
山东省,,20.4,62.4,46.7,44.2,46.5,45.7,45.8,43.7,43.1
河南省,,54.6,65.3,62.2,49.4,48.6,40.7,43.6,42.5,40.0
湖北省,,51.2,51.3,55.3,37.6,36.1,37.1,32.9,33.4,37.9
湖南省,,25.3,27.7,31.4,31.1,40.4,44.5,44.9,45.1,47.3
广东省,,53.9,82.5,73.9,36.9,36.6,37.1,38.0,37.0,36.8
广西壮族自治区,,22.8,22.7,22.9,19.7,16.7,14.7,18.1,18.1,18.7
海南省,,10.9,10.1,7.9,5.6,5.5,5.5,5.1,4.8,4.3
重庆市,,21.9,18.9,29.6,17.5,13.1,14.3,15.7,14.3,13.4
四川省,,51.6,66.4,54.4,50.4,53.3,55.8,56.3,54.6,54.4
贵州省,,32.9,32.0,19.5,15.3,15.1,14.9,14.8,14.5,14.1
云南省,,32.5,30.0,31.9,22.9,20.9,19.8,20.1,19.5,19.2
西藏自治区,,1.8,1.8,2.1,2.1,2.1,1.9,1.8,1.8,1.7
陕西省,,23.8,27.7,24.5,23.8,24.1,23.4,22.7,22.3,22.3
甘肃省,,13.4,13.1,12.2,10.8,10.0,9.6,9.8,9.5,9.7
青海省,,2.1,2.8,3.1,3.1,4.6,4.7,4.6,4.4,4.2
宁夏回族自治区,,10.9,7.0,5.6,5.1,5.4,5.1,5.1,4.9,5.0
新疆维吾尔自治区,,8.8,8.9,9.4,8.4,9.5,10.0,9.7,10.3,11.2
数据来源：国家统计局
