数据库：分省年度数据
指标：租赁房房租类居民消费价格指数(上年=100)
时间：最近10年
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
北京市,,100.6,101.3,98.9,101.7,102.9,103.8,103.8,,
天津市,,101.0,100.1,101.0,103.0,101.2,100.4,103.9,,
河北省,,99.8,99.8,98.9,100.7,100.8,103.1,100.6,,
山西省,,99.4,99.6,100.4,103.2,106.0,102.5,100.9,,
内蒙古自治区,,100.1,99.7,99.6,103.0,105.2,104.2,99.3,,
辽宁省,,99.2,100.1,100.2,100.3,101.9,101.5,101.9,,
吉林省,,98.9,98.8,98.0,105.1,103.5,100.8,100.0,,
黑龙江省,,99.4,98.6,96.9,98.9,100.9,102.4,100.9,,
上海市,,100.6,101.1,101.0,101.8,99.7,101.8,107.3,,
江苏省,,100.3,101.3,99.9,102.2,101.9,103.2,101.8,,
浙江省,,99.5,99.9,99.9,100.6,103.9,106.7,101.9,,
安徽省,,98.8,100.1,99.8,101.7,101.9,102.4,101.6,,
福建省,,99.9,101.1,100.0,100.6,100.7,102.0,101.0,,
江西省,,99.7,100.1,99.5,100.7,101.7,103.9,103.9,,
山东省,,99.3,100.7,99.9,104.0,102.6,102.6,102.2,,
河南省,,99.1,100.3,98.6,100.0,101.8,102.9,103.3,,
湖北省,,100.9,99.4,99.6,102.7,103.1,103.0,105.4,,
湖南省,,100.9,101.6,100.0,101.7,103.5,104.3,102.7,,
广东省,,99.6,100.0,98.5,101.7,102.2,101.9,103.4,,
广西壮族自治区,,98.8,100.2,99.1,103.0,105.2,102.8,101.8,,
海南省,,97.5,100.4,94.8,103.1,107.0,110.3,103.8,,
重庆市,,99.2,102.9,100.6,101.5,103.5,103.5,101.6,,
四川省,,100.0,99.6,98.5,102.4,104.6,103.0,101.5,,
贵州省,,98.8,99.0,97.7,101.7,104.6,101.8,101.3,,
云南省,,99.2,99.5,99.4,101.6,103.0,102.4,101.9,,
西藏自治区,,100.0,100.2,101.5,106.8,101.2,100.5,100.8,,
陕西省,,100.2,102.0,99.9,103.4,102.5,101.5,100.4,,
甘肃省,,98.5,100.5,99.7,101.6,103.6,103.3,101.7,,
青海省,,100.0,100.8,101.6,100.8,100.8,100.7,104.8,,
宁夏回族自治区,,99.1,98.5,98.1,100.7,98.2,101.1,102.3,,
新疆维吾尔自治区,,98.5,98.8,101.6,100.5,99.2,102.4,105.1,,
数据来源：国家统计局
