数据库：分省年度数据
指标：地区生产总值指数(上年=100)
时间：最近10年
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
北京市,105.2,100.7,108.8,101.1,106.1,106.7,106.8,106.9,106.9,107.4
天津市,104.3,101.0,106.6,101.4,104.8,103.4,103.4,106.0,106.9,107.5
河北省,105.5,103.6,106.5,103.8,106.7,106.5,106.6,106.7,106.8,106.5
山西省,105.0,104.4,109.3,103.6,106.1,106.6,106.8,104.1,103.0,104.9
内蒙古自治区,107.3,104.4,106.7,100.2,105.2,105.2,104.0,107.0,107.7,107.8
辽宁省,105.3,102.0,105.8,100.6,105.4,105.6,104.2,100.5,102.8,105.7
吉林省,106.3,97.9,106.5,102.3,103.0,104.4,105.2,106.5,106.1,106.3
黑龙江省,102.6,102.6,106.1,100.9,104.0,104.5,106.0,104.4,105.4,105.3
上海市,105.0,99.9,108.3,101.7,106.0,106.8,107.0,106.9,107.0,107.1
江苏省,105.8,102.6,108.9,103.7,105.9,106.7,107.2,107.8,108.6,108.6
浙江省,106.0,103.2,108.7,103.6,106.8,107.1,107.8,107.5,108.0,107.7
安徽省,105.8,103.3,108.2,103.7,107.3,108.0,108.6,108.8,108.7,109.2
福建省,104.5,104.2,108.3,103.2,107.5,108.3,108.1,108.4,108.9,109.9
江西省,104.1,104.3,108.9,103.8,107.9,108.7,108.8,109.0,109.1,109.7
山东省,106.0,103.9,108.3,103.5,105.3,106.3,107.3,107.4,107.8,108.5
河南省,104.1,102.4,106.0,101.1,106.8,107.6,107.8,108.2,108.4,108.9
湖北省,106.0,104.0,112.9,94.6,107.3,107.8,107.8,108.1,108.6,109.7
湖南省,104.6,104.2,107.6,103.8,107.6,107.8,108.0,108.0,108.5,109.5
广东省,104.8,102.0,108.1,102.3,106.2,106.8,107.5,107.5,108.0,107.8
广西壮族自治区,104.1,102.8,107.9,103.7,106.0,106.8,107.1,107.0,107.9,108.3
海南省,109.2,100.4,111.3,103.5,105.8,105.8,107.0,107.5,107.8,108.6
重庆市,106.1,102.5,108.4,103.9,106.3,106.0,109.3,110.7,111.0,110.9
四川省,106.0,102.8,108.2,103.8,107.4,108.0,108.1,107.8,107.9,108.5
贵州省,104.9,101.1,108.1,104.5,108.3,109.1,110.2,110.5,110.7,110.8
云南省,104.4,104.2,107.3,104.0,108.1,108.9,109.5,108.7,108.7,108.1
西藏自治区,109.5,101.2,106.7,107.8,108.1,108.9,110.0,110.1,111.0,110.8
陕西省,104.3,104.5,106.6,102.1,106.0,108.1,107.8,107.5,107.7,109.6
甘肃省,106.4,104.4,106.9,103.8,106.2,106.1,103.5,107.6,108.2,109.0
青海省,105.3,102.4,105.8,101.5,106.1,107.1,107.2,107.8,108.2,109.2
宁夏回族自治区,106.6,104.1,106.8,103.9,106.5,106.8,107.3,107.4,108.0,108.0
新疆维吾尔自治区,106.8,103.4,107.2,103.4,106.2,106.1,107.6,107.5,108.8,110.0
数据来源：国家统计局
